City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,296.37,72,81,5.81,ZA,1669903460
1,ushuaia,-54.8,-68.3,281.98,85,100,4.62,AR,1669903259
2,okhotsk,59.3833,143.3,253.47,99,100,4.41,RU,1669903538
3,hilo,19.7297,-155.09,300.53,92,100,3.09,US,1669903538
4,vila franca do campo,37.7167,-25.4333,290.48,69,38,3.02,PT,1669903511
5,kandi,11.1342,2.9386,309.32,13,66,0.77,BJ,1669903538
6,kamaishi,39.2667,141.8833,275.85,71,20,2.49,JP,1669903539
7,port blair,11.6667,92.75,300.39,81,100,3.38,IN,1669903539
8,hasaki,35.7333,140.8333,281.37,79,100,5.34,JP,1669903539
9,east london,-33.0153,27.9116,298.27,75,7,4.11,ZA,1669903251
10,taltal,-25.4,-70.4833,292.92,71,2,2.95,CL,1669903540
11,filingue,14.3521,3.3168,306.5,10,40,3.34,NE,1669903540
12,locri,38.2414,16.2623,288.74,66,25,4.64,IT,1669903540
13,dudinka,69.4058,86.1778,257.26,98,100,2.84,RU,1669903541
14,cherskiy,68.75,161.3,255.09,98,100,6.01,RU,1669903541
15,lapua,62.9693,23.0088,272.1,93,100,1.08,FI,1669903541
16,atherton,53.5237,-2.4935,281.09,90,46,0.89,GB,1669903542
17,castro,-24.7911,-50.0119,297.21,65,11,3.75,BR,1669903542
18,bredasdorp,-34.5322,20.0403,299.1,46,51,8.65,ZA,1669903542
19,saint-philippe,-21.3585,55.7679,299.92,77,53,2.29,RE,1669903542
20,vaini,-21.2,-175.2,297.24,100,20,0.0,TO,1669903542
21,yellowknife,62.456,-114.3525,250.07,98,100,1.07,CA,1669903339
22,qaanaaq,77.484,-69.3632,241.1,83,10,3.07,GL,1669903543
23,dikson,73.5069,80.5464,267.32,94,100,8.88,RU,1669903295
24,sao joao da barra,-21.6403,-41.0511,298.56,84,99,8.56,BR,1669903369
25,akyab,20.15,92.9,299.76,78,0,5.51,MM,1669903544
26,cabo san lucas,22.8909,-109.9124,290.71,70,8,1.75,MX,1669903510
27,takoradi,4.8845,-1.7554,302.46,66,100,3.72,GH,1669903545
28,jibuti,11.5,42.5,298.17,49,2,5.55,DJ,1669903545
29,ocos,14.5094,-92.1933,298.02,75,25,2.35,GT,1669903545
30,mataura,-46.1927,168.8643,283.42,90,82,3.63,NZ,1669903546
31,fortuna,40.5982,-124.1573,279.34,96,100,3.09,US,1669903546
32,isangel,-19.55,169.2667,299.41,86,100,3.32,VU,1669903546
33,wewak,-3.5534,143.6268,299.75,84,100,5.16,PG,1669903546
34,khatanga,71.9667,102.5,261.04,94,100,5.51,RU,1669903547
35,botwood,49.1499,-55.3482,276.43,87,83,8.99,CA,1669903547
36,woodward,36.4337,-99.3904,274.72,54,0,6.69,US,1669903547
37,bilma,18.6853,12.9164,300.29,15,6,1.64,NE,1669903548
38,talnakh,69.4865,88.3972,255.16,99,100,0.44,RU,1669903549
39,yenagoa,4.9247,6.2642,306.08,46,50,1.63,NG,1669903549
40,albany,42.6001,-73.9662,274.58,51,4,1.79,US,1669903549
41,potosi,-19.5836,-65.7531,284.63,50,40,4.12,BO,1669903549
42,nishihara,26.1842,127.7558,291.75,72,75,7.2,JP,1669903550
43,buraydah,26.326,43.975,296.91,32,13,3.89,SA,1669903550
44,carnarvon,-24.8667,113.6333,294.32,75,3,8.06,AU,1669903550
45,vanimo,-2.6741,141.3028,298.44,88,100,3.46,PG,1669903551
46,santander,43.4647,-3.8044,285.07,73,75,3.13,ES,1669903189
47,nikolskoye,59.7035,30.7861,268.04,87,99,1.43,RU,1669903551
48,kushima,31.4583,131.2333,281.44,69,74,2.89,JP,1669903552
49,punta arenas,-53.15,-70.9167,286.21,47,40,16.46,CL,1669903552
50,cape town,-33.9258,18.4232,299.21,59,97,4.47,ZA,1669903299
51,aranos,-24.1333,19.1167,308.08,15,94,2.08,NA,1669903552
52,maua,-23.6678,-46.4614,300.57,48,34,3.27,BR,1669903400
53,jamestown,42.097,-79.2353,270.95,91,100,6.69,US,1669903552
54,rikitea,-23.1203,-134.9692,296.26,74,63,5.09,PF,1669903553
55,hobart,-42.8794,147.3294,285.07,66,100,1.54,AU,1669903553
56,port elizabeth,-33.918,25.5701,298.76,75,92,1.34,ZA,1669903443
57,ulagan,50.6321,87.9563,249.34,83,27,0.75,RU,1669903553
58,port alfred,-33.5906,26.891,294.92,84,29,2.24,ZA,1669903554
59,eureka,40.8021,-124.1637,279.49,96,100,0.45,US,1669903554
60,hamilton,39.1834,-84.5333,270.5,72,0,3.09,US,1669903554
61,camopi,3.1655,-52.3158,301.52,70,54,1.95,GF,1669903554
62,butaritari,3.0707,172.7902,299.58,82,21,5.5,KI,1669903554
63,kapaa,22.0752,-159.319,295.33,88,0,4.12,US,1669903555
64,saint-augustin,51.226,-58.6502,274.88,90,100,8.53,CA,1669903555
65,vadinsk,53.6916,43.0574,264.1,92,77,1.94,RU,1669903555
66,chokurdakh,70.6333,147.9167,255.62,98,100,1.8,RU,1669903555
67,arbazh,57.6804,48.3065,259.81,99,82,0.97,RU,1669903555
68,parvatsar,26.8833,74.7667,290.83,29,0,1.34,IN,1669903555
69,leh,34.1667,77.5833,270.82,31,100,0.89,IN,1669903556
70,georgetown,5.4112,100.3354,299.95,84,20,4.12,MY,1669903472
71,ribeira grande,38.5167,-28.7,293.37,68,75,5.14,PT,1669903556
72,sorland,67.667,12.6934,278.07,75,75,2.06,NO,1669903556
73,yambio,4.5721,28.3955,297.82,77,99,2.66,SS,1669903556
74,ambon,-3.6954,128.1814,300.47,76,100,2.27,ID,1669903557
75,souillac,-20.5167,57.5167,298.63,68,55,3.93,MU,1669903557
76,itoman,26.1247,127.6694,292.16,72,75,7.2,JP,1669903557
77,arraial do cabo,-22.9661,-42.0278,298.07,83,40,10.8,BR,1669903557
78,goderich,43.7501,-81.7165,274.77,65,100,11.32,CA,1669903558
79,new norfolk,-42.7826,147.0587,284.87,65,49,0.49,AU,1669903558
80,bandarbeyla,9.4942,50.8122,299.55,80,45,9.11,SO,1669903558
81,upernavik,72.7868,-56.1549,257.62,92,100,9.16,GL,1669903558
82,bluff,-46.6,168.3333,283.6,68,48,8.86,NZ,1669903558
83,namibe,-15.1961,12.1522,296.74,73,51,4.9,AO,1669903559
84,alexandria,31.2156,29.9553,293.85,54,0,4.73,EG,1669903256
85,avarua,-21.2078,-159.775,298.18,94,75,6.17,CK,1669903555
86,partizanskoye,55.5006,94.39,254.74,94,100,3.84,RU,1669903560
87,tuktoyaktuk,69.4541,-133.0374,251.87,100,99,1.91,CA,1669903560
88,mahibadhoo,3.7833,72.9667,300.4,73,69,1.12,MV,1669903560
89,cidreira,-30.1811,-50.2056,297.26,84,100,7.25,BR,1669903561
90,shimoda,34.6667,138.95,283.21,80,99,1.41,JP,1669903561
91,tecoanapa,16.5167,-98.75,297.6,85,14,1.52,MX,1669903561
92,boyolangu,-8.1181,111.8935,297.06,80,100,0.8,ID,1669903561
93,busselton,-33.65,115.3333,286.34,88,0,4.63,AU,1669903562
94,warrnambool,-38.3833,142.4833,283.62,81,3,4.09,AU,1669903562
95,volterra,43.4003,10.86,283.38,56,87,4.65,IT,1669903562
96,mahebourg,-20.4081,57.7,298.85,70,26,3.96,MU,1669903285
97,korla,41.7597,86.1469,266.11,20,0,1.65,CN,1669903563
98,bethel,41.3712,-73.414,276.79,57,100,6.69,US,1669903563
99,celestun,20.8667,-90.4,297.4,87,15,4.94,MX,1669903564
100,tommot,58.9564,126.2925,251.06,92,100,4.68,RU,1669903502
101,saskylakh,71.9167,114.0833,240.4,100,100,2.11,RU,1669903564
102,marinette,45.1,-87.6307,265.42,62,80,4.03,US,1669903564
103,narrabri,-30.3167,149.7833,287.88,78,0,5.25,AU,1669903564
104,chuy,-33.6971,-53.4616,296.76,85,88,4.22,UY,1669903565
105,hirara,24.8,125.2833,296.1,77,100,11.36,JP,1669903565
106,visnes,59.3556,5.2242,279.38,70,0,2.57,NO,1669903565
107,paita,-5.0892,-81.1144,294.6,73,70,4.02,PE,1669903366
108,rjukan,59.8789,8.5941,273.17,85,100,0.62,NO,1669903566
109,malaryta,51.7905,24.074,269.34,91,94,2.97,BY,1669903566
110,gilgit,35.9221,74.3087,280.42,45,100,0.6,PK,1669903566
111,puerto escondido,15.85,-97.0667,294.61,88,40,4.12,MX,1669903567
112,nouadhibou,20.931,-17.0347,292.31,72,90,7.68,MR,1669903290
113,yar-sale,66.8333,70.8333,252.14,94,14,4.11,RU,1669903567
114,nome,64.5011,-165.4064,263.62,97,100,1.46,US,1669903352
115,poum,-20.2333,164.0167,300.73,83,100,4.92,NC,1669903567
116,volda,62.1476,6.0741,278.99,93,0,0.0,NO,1669903278
117,flinders,-34.5833,150.8552,291.14,70,61,1.7,AU,1669903567
118,kaitangata,-46.2817,169.8464,281.62,74,40,4.96,NZ,1669903568
119,ilulissat,69.2167,-51.1,266.16,68,75,9.77,GL,1669903568
120,ancud,-41.8697,-73.8203,284.13,58,73,1.89,CL,1669903568
121,kataysk,56.289,62.5841,258.23,92,100,2.56,RU,1669903569
122,north bend,43.4065,-124.2243,276.96,96,100,2.57,US,1669903569
123,baraki barak,33.9675,68.9486,282.11,35,100,1.03,AF,1669903569
124,luderitz,-26.6481,15.1594,295.29,63,30,11.12,NA,1669903569
125,pocone,-16.2567,-56.6228,308.61,32,54,2.61,BR,1669903570
126,giyon,8.5333,37.9833,295.18,24,17,6.4,ET,1669903570
127,huarmey,-10.0681,-78.1522,294.14,79,24,2.39,PE,1669903381
128,majene,-3.5403,118.9707,299.09,83,88,2.31,ID,1669903570
129,constitucion,-35.3333,-72.4167,291.36,48,0,4.19,CL,1669903571
130,jaguaruna,-28.615,-49.0256,298.09,78,100,4.05,BR,1669903571
131,mehamn,71.0357,27.8492,274.12,80,75,5.14,NO,1669903571
132,kamyshla,54.1169,52.1426,263.57,96,98,1.76,RU,1669903571
133,mazyr,52.0495,29.2456,264.28,94,55,1.96,BY,1669903571
134,fenoarivo atsinanana,-17.3667,49.4167,299.59,71,8,3.52,MG,1669903572
